uniprot,protein_names,gene_names,WT_p_value,WT_Effect_size,CKO_p_value,CKO_Effect_size,Genotype_p_value,Genotype_Effect_size,Gender_p_value,Genotype_Effect_size
Q9D8W5,26S proteasome non-ATPase regulatory subunit 12,Psmd12,0.7668,0.01808,0.412,0.05175,0.2379,0.1229,0.7737,0.04662
Q9D8W7,OCIA domain-containing protein 2,Ociad2,0.2824,0.06555,0.1409,0.09288,0.0001,0.6771,0.178,-0.2184
Q9D8X0,Protein MANBAL,Manbal,0.0016,0.1921,0.9874,0.0009961,0.0207,0.241,0.7249,-0.05707
Q9D8X1,Copper homeostasis protein cutC homolog,Cutc,0.0278,-0.1342,0.0042,-0.1808,0.0001,-0.5232,0.4219,0.1302
Q9D8X2,Coiled-coil domain-containing protein 124,Ccdc124,0.7202,-0.02184,0.751,0.02001,0.773,0.03005,0.7374,0.05439
Q9D8X5,CCR4-NOT transcription complex subunit 8,Cnot8,0.6561,-0.02716,0.5693,0.03589,0.0185,-0.2453,0.5933,0.08661
Q9D8Y0,EF-hand domain-containing protein D2,Efhd2,0.1718,0.08332,0.8398,-0.01275,0.0003,0.3754,0.2221,-0.198
Q9D8Y1,Transmembrane protein 126A,Tmem126a,0.0239,0.1377,0.6654,-0.02728,0.3478,0.09779,0.6408,-0.07566
Q9D8Z1,Activating signal cointegrator 1 complex subunit 1,Ascc1,0.5483,-0.03661,0.7925,-0.0166,0.5538,-0.06167,0.7571,0.05016
Q9D8Z2,TP53-regulated inhibitor of apoptosis 1,Triap1,0.5391,-0.03745,0.0654,-0.1162,0.0003,-0.3743,0.9272,0.01482
Q9D8Z6,Autophagy-related protein 101,Atg101,0.7542,-0.01909,0.0855,0.1085,0.693,-0.04112,0.7753,-0.04629
Q9D902,General transcription factor IIE subunit 2,Gtf2e2,0.9423,-0.004413,0.2035,0.08022,0.6992,0.04024,0.4678,-0.1177
Q9D903,Probable rRNA-processing protein EBP2,Ebna1bp2,0.8079,-0.01483,0.5763,0.03525,0.1377,-0.1546,0.5063,0.1078
Q9D906,Ubiquitin-like modifier-activating enzyme ATG7,Atg7,0.8259,0.01341,0.2735,0.06907,0.2411,0.1221,0.5806,-0.0896
Q9D920,Loss of heterozygosity 12 chromosomal region 1 protein homolog,Loh12cr1,0.5842,-0.03337,0.0339,-0.1338,0.1901,-0.1365,0.4877,-0.1125
Q9D924,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",Isca1,0.0343,-0.129,0.2506,-0.07247,0.0511,-0.2032,0.6886,0.06499
Q9D937,Uncharacterized protein C11orf98 homolog,,0.3599,0.05583,0.809,0.01525,0.0888,-0.1772,0.703,0.06184
Q9D938,Transmembrane protein 160,Tmem160,0.7128,-0.02245,0.8816,0.009392,0.0091,0.2718,0.4959,-0.1104
Q9D945,Protein LLP homolog,Llph,0.4002,-0.0513,0.2498,0.07258,0.0064,-0.2839,0.5723,0.09156
Q9D958,Signal peptidase complex subunit 1,Spcs1,0.2993,0.06329,0.9215,-0.006214,0.1222,0.161,0.7821,-0.04485
Q9D967,Magnesium-dependent phosphatase 1,Mdp1,0.8288,0.01318,0.3398,-0.06021,0.4454,-0.07948,0.6649,-0.07023
Q9D968,Host cell factor 2,Hcfc2,0.0776,0.1076,0.1146,0.09953,0.5592,-0.06083,0.6045,0.08399
Q9D975,Sulfiredoxin-1,Srxn1,0.0826,0.1059,0.9328,-0.005318,0.0001,0.6546,0.0442,-0.3263
Q9D9H8,UPF0565 protein C2orf69 homolog,,0.4339,-0.04771,0.1744,0.08566,0.9276,-0.009461,0.8895,0.02253
Q9D9K3,Cell death regulator Aven,Aven,0.8226,0.01367,0.8902,0.008711,0.291,0.11,0.276,0.1767
Q9D9M2,Ubiquitin carboxyl-terminal hydrolase 12,Usp12,0.9643,-0.002729,0.3989,0.05321,0.6629,-0.0454,0.9692,-0.006269
Q9D9M5,Pyridoxal phosphate phosphatase PHOSPHO2,Phospho2,0.3671,-0.05499,0.0002,-0.2378,0.7511,0.03304,0.8905,-0.02232
Q9D9V3,Ethylmalonyl-CoA decarboxylase,Echdc1,0.4489,-0.04617,0.1869,-0.08325,0.0005,-0.3638,0.8624,0.02811
Q9D9Z5,DET1- and DDB1-associated protein 1,Dda1,0.4477,0.04629,0.2813,-0.06795,0.9235,0.01001,0.2564,0.1841
Q9DA08,SAGA-associated factor 29 homolog,Ccdc101,0.0001,0.2424,0.0005,0.221,0.0921,0.1755,0.5936,0.08654
Q9DA19,Corepressor interacting with RBPJ 1,Cir1,0.0563,-0.1164,0.7475,0.02031,0.0004,-0.368,0.266,0.1804
Q9DA69,Intraflagellar transport protein 43 homolog,Ift43,0.3879,-0.05265,0.5052,-0.04203,0.3904,-0.08945,0.8576,0.02909
Q9DAA6,Exosome complex component CSL4,Exosc1,0.0267,-0.1351,0.4602,0.04659,0.0088,-0.2728,0.3191,0.1616
Q9DAI2,Intraflagellar transport protein 22 homolog,Ift22,0.3595,0.05587,0.5706,-0.03578,0.3832,-0.09083,0.5233,-0.1035
Q9DAK9,14 kDa phosphohistidine phosphatase,Phpt1,0.1255,-0.09341,0.0663,-0.1158,0.0002,-0.3934,0.9651,-0.007092
Q9DAM7,Transmembrane protein 263,Tmem263,0.6411,0.02842,0.5768,0.0352,0.7107,-0.03864,0.4932,0.1111
Q9DAR7,m7GpppX diphosphatase,Dcps,0.926,0.005662,0.9132,0.006872,0.0012,-0.3376,0.619,0.08065
Q9DAS9,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,Gng12,0.4598,0.04507,0.9499,0.003966,0.1767,-0.1407,0.3813,-0.142
Q9DAT2,MRG/MORF4L-binding protein,Mrgbp,0.7445,-0.01987,0.0477,-0.1249,0.0071,-0.2802,0.8355,0.03368
Q9DAT5,Mitochondrial tRNA-specific 2-thiouridylase 1,Trmu,0.4934,-0.04176,0.0991,0.104,0.2115,-0.1301,0.2995,-0.1683
Q9DAU1,Protein canopy homolog 3,Cnpy3,0.3586,0.05597,0.961,0.003082,0.6486,-0.04746,0.6552,-0.07241
Q9DAW6,U4/U6 small nuclear ribonucleoprotein Prp4,Prpf4,0.6179,-0.03041,0.6173,0.03152,0.0016,-0.3278,0.4544,0.1213
Q9DAW9,Calponin-3,Cnn3,0.8255,0.01344,0.6014,-0.03295,0.8306,0.02228,0.9514,-0.009887
Q9DAX2,Lipid phosphate phosphohydrolase 2,Ppap2c,0.3492,0.05709,0.9673,0.002585,0.0001,0.4683,0.6398,0.07588
Q9DAZ9,Abscission/NoCut checkpoint regulator,Zfyve19,0.7054,-0.02305,0.9233,-0.006076,0.0708,-0.1882,0.8289,-0.03504
Q9DB05,Alpha-soluble NSF attachment protein,Napa,0.6991,-0.02357,0.6193,0.03134,0.8741,-0.01651,0.9581,0.008524
Q9DB07,Intraflagellar transport protein 46 homolog,Ift46,0.3328,0.05905,0.7372,-0.02116,0.7982,0.02663,0.9268,-0.01489
Q9DB15,"39S ribosomal protein L12, mitochondrial",Mrpl12,0.7228,-0.02163,0.8182,0.0145,0.3387,-0.09966,0.9555,-0.009057
Q9DB16,Calcium-binding protein 39-like,Cab39l,0.069,0.1109,0.248,0.07287,0.011,-0.2648,0.8803,-0.02442
Q9DB20,"ATP synthase subunit O, mitochondrial",Atp5o,0.5033,0.04081,0.7179,0.02279,0.1986,-0.1339,0.7818,-0.04492
Q9DB25,Dolichyl-phosphate beta-glucosyltransferase,Alg5,0.507,0.04046,0.3928,0.0539,0.0156,0.2519,0.8755,-0.02541
Q9DB26,Phytanoyl-CoA dioxygenase domain-containing protein 1,Phyhd1,0.1363,-0.09084,0.045,-0.1264,0.0003,-0.3743,0.7396,-0.0539
Q9DB27,Malignant T-cell-amplified sequence 1,Mcts1,0.5054,-0.04061,0.8787,-0.009628,0.5801,-0.05763,0.9822,0.003611
Q9DB29,Isoamyl acetate-hydrolyzing esterase 1 homolog,Iah1,0.6289,-0.02946,0.5092,-0.04163,0.0222,-0.2382,0.872,-0.02612
Q9DB30,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Phkg2,0.65,-0.02767,0.4765,0.04491,0.3977,-0.08809,0.7945,0.04224
Q9DB32,Hydroxyacylglutathione hydrolase-like protein,Haghl,0.2437,-0.07109,0.5702,0.03582,0.5334,-0.06487,0.6214,0.08008
Q9DB34,Charged multivesicular body protein 2a,Chmp2a,0.5427,-0.03712,0.4043,-0.0526,0.7789,0.02924,0.8695,0.02665
Q9DB40,Mediator of RNA polymerase II transcription subunit 27,Med27,0.0404,0.125,0.7024,-0.0241,0.2568,-0.1181,0.5065,0.1077
Q9DB42,Zinc finger protein 593,Znf593,0.6641,-0.02648,0.9128,0.006907,0.0001,-0.474,0.6434,-0.07508
Q9DB43,Zinc finger protein-like 1,Zfpl1,0.3523,0.05671,0.1198,0.09812,0.0418,0.2121,0.8848,-0.02349
Q9DB52,Protein FAM122A,Fam122a,0.0292,-0.1329,0.3308,-0.06134,0.0024,-0.3168,0.4928,0.1112
Q9DB60,Prostamide/prostaglandin F synthase,Fam213b,0.006,0.1674,0.0433,0.1275,0.023,0.2368,0.7246,-0.05714
Q9DB70,FUN14 domain-containing protein 1,Fundc1,0.0012,0.1976,0.7682,0.01859,0.3253,-0.1025,0.1536,-0.2314
Q9DB73,NADH-cytochrome b5 reductase 1,Cyb5r1,0.8079,0.01482,0.5685,0.03597,0.8575,0.0187,0.7779,-0.04575
Q9DB77,"Cytochrome b-c1 complex subunit 2, mitochondrial",Uqcrc2,0.619,0.03032,0.5662,0.03618,0.2198,-0.1278,0.7903,-0.04313
Q9DB85,Ribosomal RNA-processing protein 8,Rrp8,0.3973,-0.05161,0.6335,-0.03007,0.2088,-0.1309,0.3899,0.1394
Q9DB90,Protein SMG9,Smg9,0.372,-0.05443,0.0655,-0.1162,0.1965,-0.1345,0.6142,0.08174
Q9DB91,Mediator of RNA polymerase II transcription subunit 29,Med29,0.2152,-0.07557,0.4737,0.04519,0.4965,-0.07082,0.2517,0.1859
Q9DB94,WD repeat-containing protein 53,Wdr53,0.1309,0.0921,0.8423,0.01255,0.2073,0.1314,0.5143,-0.1058
Q9DB96,Neuroguidin,Ngdn,0.6783,-0.02529,0.8494,0.01198,0.029,-0.2274,0.5792,0.08993
Q9DB98,Leukocyte receptor cluster member 1 homolog,Leng1,0.0349,0.1286,0.0634,0.1171,0.0157,-0.2517,0.6535,0.07281
Q9DBB4,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",Naa16,0.793,0.016,0.4959,0.04296,0.7722,0.03016,0.5283,-0.1023
Q9DBC0,Selenoprotein O,Selo,0.8964,0.007936,0.8037,-0.01567,0.7288,-0.03612,0.2606,-0.1824
Q9DBC3,Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1,Cmtr1,0.8382,-0.01245,0.6624,0.02754,0.0343,-0.2205,0.7455,0.05265
Q9DBC7,"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed",Prkar1a,0.874,0.009671,0.9805,-0.001541,0.9474,-0.006867,0.4343,0.1268
Q9DBD2,E3 ubiquitin-protein ligase MARCH8,Mar-08,0.135,-0.09113,0.0004,-0.2237,0.6302,-0.05015,0.9925,0.001528
Q9DBD5,"Proline-, glutamic acid- and leucine-rich protein 1",Pelp1,0.1804,-0.08168,0.1383,0.09348,0.9602,-0.005204,0.3421,0.1541
Q9DBE0,Cysteine sulfinic acid decarboxylase,Csad,0.0951,-0.1018,0.0064,-0.1719,0.0047,-0.2942,0.4199,-0.1308
Q9DBE8,"Alpha-1,3/1,6-mannosyltransferase ALG2",Alg2,0.5915,0.03272,0.2021,-0.08045,0.1613,0.1459,0.9677,-0.00656
Q9DBE9,pre-rRNA processing protein FTSJ3,Ftsj3,0.6133,0.03081,0.7486,0.02021,0.4335,0.08158,0.3859,0.1406
Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase,Aldh7a1,0.1926,-0.07945,0.3012,-0.06521,0.8007,-0.02629,0.6512,0.07332
Q9DBF7,Pre-mRNA-splicing factor CWC25 homolog,Cwc25,0.9544,-0.003484,0.7823,-0.01743,0.1657,-0.1444,0.6841,0.06598
Q9DBG3,AP-2 complex subunit beta,Ap2b1,0.6978,-0.02367,0.7419,0.02078,0.8749,0.0164,0.7633,-0.04883
Q9DBG5,Perilipin-3,Plin3,0.8666,0.01024,0.9324,-0.005353,0.3525,-0.09684,0.2967,-0.1692
Q9DBG6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,Rpn2,0.8308,-0.01303,0.9866,-0.001059,0.9937,-0.0008228,0.9049,-0.01937
Q9DBG7,Signal recognition particle receptor subunit alpha,Srpr,0.4953,0.04158,0.2566,0.07156,0.1013,0.1707,0.8328,0.03424
Q9DBG9,Tax1-binding protein 3,Tax1bp3,0.5559,-0.03591,0.9212,0.006236,0.7411,-0.03442,0.9547,0.009212
Q9DBH0,NEDD4-like E3 ubiquitin-protein ligase WWP2,Wwp2,0.4,-0.05132,0.0003,-0.2303,0.6492,0.04737,0.9893,-0.00217
Q9DBH5,Vesicular integral-membrane protein VIP36,Lman2,0.935,-0.004975,0.9277,0.005724,0.2373,-0.1231,0.7948,-0.04219
Q9DBJ1,Phosphoglycerate mutase 1,Pgam1,0.9192,-0.006186,0.9703,0.002345,0.615,0.05239,0.8355,0.03368
Q9DBJ3,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,Baiap2l1,0.2692,0.06737,0.9979,-0.0001676,0.0011,0.3395,0.3109,0.1643
Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Acadsb,0.8869,0.008669,0.7206,-0.02256,0.1379,-0.1546,0.5947,-0.08629
Q9DBL2,Ganglioside-induced differentiation-associated protein 2,Gdap2,0.3881,-0.05262,0.8953,0.008301,0.1449,-0.1519,0.5538,-0.09602
Q9DBL7,Bifunctional coenzyme A synthase;Phosphopantetheine adenylyltransferase;Dephospho-CoA kinase,Coasy,0.8761,0.009504,0.472,0.04537,0.0083,-0.2748,0.6715,-0.06878
Q9DBM1,G patch domain-containing protein 1,Gpatch1,0.9906,0.0007172,0.1397,0.09315,0.4625,-0.07653,0.9939,-0.001248
Q9DBN4,Putative monooxygenase p33MONOX,P33monox,0.0084,0.1606,0.7915,0.01668,0.209,-0.1309,0.422,-0.1302
Q9DBN5,"Lon protease homolog 2, peroxisomal",Lonp2,0.3044,-0.06262,0.7165,0.0229,0.0001,0.4727,0.608,0.08318
Q9DBP5,UMP-CMP kinase,Cmpk1,0.8868,-0.008677,0.9158,-0.006672,0.7665,0.03092,0.8986,0.02067
Q9DBQ7,Protein-associating with the carboxyl-terminal domain of ezrin,Scyl3,0.6072,-0.03135,0.4089,0.05209,0.5334,0.06487,0.9257,0.01513
Q9DBR0,A-kinase anchor protein 8,Akap8,0.6431,-0.02825,0.9826,-0.001374,0.3755,-0.09231,0.4426,0.1245
Q9DBR1,5-3 exoribonuclease 2,Xrn2,0.5783,-0.03389,0.8985,0.008044,0.3387,-0.09966,0.54,0.09938
Q9DBR2,Protein FAM13C,Fam13c,0.0005,-0.2122,0.0613,-0.1181,0.849,-0.01983,0.4727,0.1165
Q9DBR3,Armadillo repeat-containing protein 8,Armc8,0.4521,-0.04584,0.2896,0.0668,0.9984,-0.0002097,0.7409,0.05362
Q9DBR4,Amyloid beta A4 precursor protein-binding family B member 2,Apbb2,0.4024,0.05106,0.663,0.02749,0.2797,0.1126,0.9755,0.004972
Q9DBR7,Protein phosphatase 1 regulatory subunit 12A,Ppp1r12a,0.8401,-0.0123,0.3847,-0.05483,0.3733,-0.09274,0.7905,0.04308
Q9DBS1,Transmembrane protein 43,Tmem43,0.659,0.02691,0.5161,0.04096,0.247,-0.1206,0.4075,-0.1343
Q9DBS2,Tumor protein p63-regulated gene 1-like protein,Tprg1l,0.9037,-0.007381,0.3092,-0.06414,0.1864,-0.1376,0.9297,-0.01431
Q9DBS5,Kinesin light chain 4,Klc4,0.8595,-0.0108,0.7126,-0.02323,0.2862,0.1111,0.9379,-0.01263
Q9DBS8,Centrosomal protein POC5,Poc5,0.1221,-0.09427,0.0086,-0.1657,0.1875,-0.1373,0.0442,-0.3263
Q9DBS9,Oxysterol-binding protein-related protein 3,Osbpl3,0.6919,0.02416,0.8433,0.01247,0.0001,1.08,0.7977,0.04156
Q9DBT3,Coiled-coil domain-containing protein 97,Ccdc97,0.2475,0.07051,0.2518,0.07229,0.0014,0.3321,0.6822,0.0664
Q9DBT5,AMP deaminase 2,Ampd2,0.6463,-0.02798,0.7439,-0.0206,0.5907,0.05601,0.5828,0.08908
Q9DBU0,Transmembrane 9 superfamily member 1,Tm9sf1,0.0988,-0.1007,0.3054,0.06465,0.2635,0.1165,0.8718,0.02617
Q9DBU3,Serine/threonine-protein kinase RIO3,Riok3,0.8217,0.01374,0.2987,0.06555,0.1853,0.138,0.8368,0.03341
Q9DBU5,E3 ubiquitin-protein ligase RNF6,Rnf6,0.0859,-0.1047,0.0006,-0.2169,0.2982,-0.1084,0.5074,0.1075
Q9DBU6,Serine/Arginine-related protein 53,Rsrc1,0.5496,-0.03648,0.0003,-0.2287,0.0161,-0.2506,0.508,0.1074
Q9DBV4,Matrix-remodeling-associated protein 8,Mxra8,0.7171,-0.02209,0.9975,-0.0001951,0.0515,-0.2028,0.9413,-0.01194
Q9DBW3,Protein NATD1,Natd1,0.1582,0.08604,0.0996,-0.1039,0.0684,-0.1898,0.9489,-0.01039
Q9DBX2,Phosducin-like protein,Pdcl,0.935,0.004975,0.7865,0.01709,0.8962,-0.01359,0.8868,0.02308
Q9DBX6,Cytochrome P450 2S1,Cyp2s1,0.0001,-0.4762,0.0047,0.1782,0.3727,-0.09286,0.0777,0.2861
Q9DBY1,E3 ubiquitin-protein ligase synoviolin,Syvn1,0.7695,0.01787,0.0831,0.1093,0.2316,0.1246,0.8376,-0.03324
Q9DBY5,Chromobox protein homolog 6,Cbx6,0.8062,-0.01496,0.5183,0.04074,0.0629,-0.1937,0.8471,-0.03126
Q9DBY8,Nuclear valosin-containing protein-like,Nvl,0.725,-0.02145,0.2217,0.07709,0.034,-0.2209,0.3313,0.1575
Q9DBZ1,Inhibitor of nuclear factor kappa-B kinase-interacting protein,Ikbip,0.8759,0.009518,0.7602,-0.01925,0.9905,0.00124,0.8123,0.03851
Q9DBZ1,Inhibitor of nuclear factor kappa-B kinase-interacting protein,Ikbip,0.9895,-0.0008001,0.3054,0.06465,0.5967,0.05512,0.6996,0.06258
Q9DBZ5,Eukaryotic translation initiation factor 3 subunit K,Eif3k,0.655,-0.02725,0.5791,0.03499,0.5333,0.06489,0.534,0.1008
Q9DBZ9,Rho GTPase-activating protein SYDE1,Syde1,0.6933,-0.02404,0.8603,-0.0111,0.7377,-0.03488,0.9605,-0.008036
Q9DC04,Regulator of G-protein signaling 3,Rgs3,0.1038,-0.09919,0.5714,0.0357,0.2113,-0.1302,0.8996,-0.02046
Q9DC11,Plexin domain-containing protein 2,Plxdc2,0.529,-0.03838,0.4112,0.05183,0.4947,0.07113,0.795,0.04214
Q9DC16,Endoplasmic reticulum-Golgi intermediate compartment protein 1,Ergic1,0.5141,0.03979,0.5721,0.03564,0.0289,0.2276,0.5921,-0.08688
Q9DC22,DDB1- and CUL4-associated factor 6,Dcaf6,0.0135,-0.1506,0.0043,0.1801,0.2293,0.1252,0.9838,0.003295
Q9DC23,DnaJ homolog subfamily C member 10,Dnajc10,0.9499,0.003835,0.6622,0.02755,0.2716,0.1145,0.9312,0.014
Q9DC28,Casein kinase I isoform delta,Csnk1d,0.5061,0.04054,0.3235,0.06227,0.0016,0.3281,0.7186,0.05843
Q9DC29,"ATP-binding cassette sub-family B member 6, mitochondrial",Abcb6,0.0377,0.1267,0.893,0.008483,0.0205,-0.2414,0.199,-0.2083
Q9DC33,High mobility group protein 20A,Hmg20a,0.6501,-0.02766,0.2446,-0.0734,0.0622,-0.1943,0.4596,0.1199
Q9DC37,Major facilitator superfamily domain-containing protein 1,Mfsd1,0.4775,0.04332,0.0076,0.1684,0.2102,0.1305,0.1502,-0.2333
Q9DC40,Telomere length regulation protein TEL2 homolog,Telo2,0.4651,-0.04454,0.4974,0.0428,0.8419,-0.02078,0.6034,-0.08425
Q9DC48,Pre-mRNA-processing factor 17,Cdc40,0.469,-0.04415,0.3404,0.06014,0.1238,-0.1603,0.5147,0.1057
Q9DC50,Peroxisomal carnitine O-octanoyltransferase,Crot,0.572,0.03446,0.5506,0.03764,0.3225,0.1031,0.8636,-0.02787
Q9DC51,Guanine nucleotide-binding protein G(k) subunit alpha,Gnai3,0.8063,-0.01495,0.7791,0.0177,0.1156,-0.1639,0.8182,-0.03728
Q9DC53,Copine-8,Cpne8,0.0008,-0.2052,0.1046,-0.1024,0.0034,0.3052,0.5158,0.1054
Q9DC61,Mitochondrial-processing peptidase subunit alpha,Pmpca,0.4413,0.04695,0.6013,0.03296,0.7651,0.03112,0.9603,0.008076
Q9DC63,F-box only protein 3,Fbxo3,0.6798,0.02517,0.5718,0.03566,0.0879,0.1778,0.763,0.04891
Q9DC69,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",Ndufa9,0.9995,-0.00004138,0.8186,0.01447,0.2307,-0.1248,0.8511,-0.03044
Q9DC70,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",Ndufs7,0.5044,-0.0407,0.2043,0.08006,0.0563,-0.1988,0.9839,-0.003263
Q9DC71,"28S ribosomal protein S15, mitochondrial",Mrps15,0.1461,0.08863,0.2021,0.08045,0.9612,0.005073,0.889,0.02264
Q9DCA2,"28S ribosomal protein S11, mitochondrial",Mrps11,0.9837,-0.001246,0.8473,0.01214,0.6105,-0.05306,0.9318,-0.01389
Q9DCA5,Ribosome biogenesis protein BRX1 homolog,Brix1,0.9789,-0.001611,0.1311,0.09524,0.4869,0.07242,0.6181,0.08086
Q9DCB1,High mobility group nucleosome-binding domain-containing protein 3,Hmgn3,0.1941,-0.07917,0.015,0.1534,0.0981,-0.1723,0.9745,-0.005175
Q9DCB8,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",Isca2,0.3741,0.0542,0.3038,-0.06487,0.0936,-0.1746,0.5714,-0.09179
Q9DCC4,Pyrroline-5-carboxylate reductase 3,Pycrl,0.8458,-0.01186,0.902,-0.007765,0.6391,0.04885,0.7094,-0.06044
Q9DCC7,"Isochorismatase domain-containing protein 2B, mitochondrial",Isoc2b,0.4453,-0.04654,0.5834,-0.0346,0.0192,-0.244,0.9441,-0.01137
Q9DCC8,Mitochondrial import receptor subunit TOM20 homolog,Tomm20,0.088,0.104,0.6002,0.03306,0.4996,0.07032,0.8544,-0.02975
Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating",Pgd,0.4453,0.04653,0.7076,0.02366,0.6756,0.04358,0.4194,-0.1309
Q9DCD2,Pre-mRNA-splicing factor SYF1,Xab2,0.7548,-0.01904,0.5779,-0.0351,0.0282,-0.2286,0.457,0.1206
Q9DCD5,Tight junction-associated protein 1,Tjap1,0.7341,-0.02071,0.3138,-0.06354,0.4116,-0.08553,0.1794,0.2177
Q9DCD6,Gamma-aminobutyric acid receptor-associated protein,Gabarap,0.0149,0.1485,0.1386,0.09343,0.1642,0.1449,0.7297,-0.05604
Q9DCE5,p21-activated protein kinase-interacting protein 1,Pak1ip1,0.8885,-0.008548,0.8712,-0.01022,0.8353,0.02166,0.4784,0.115
Q9DCF9,Translocon-associated protein subunit gamma,Ssr3,0.5904,0.03282,0.302,0.0651,0.4069,0.08638,0.7723,0.04693
Q9DCG2,CD302 antigen,Cd302,0.8903,-0.008407,0.6118,0.03201,0.3283,-0.1018,0.8848,-0.0235
Q9DCG9,Multifunctional methyltransferase subunit TRM112-like protein,Trmt112,0.7235,-0.02157,0.9176,-0.006528,0.2026,-0.1327,0.8193,0.03706
Q9DCH4,Eukaryotic translation initiation factor 3 subunit F,Eif3f,0.9749,0.001922,0.9643,-0.002825,0.9933,-0.0008799,0.8133,0.03831
Q9DCH6,AN1-type zinc finger protein 6,Zfand6,0.5906,0.0328,0.0424,-0.128,0.6633,0.04535,0.864,-0.02777
Q9DCI9,"39S ribosomal protein L32, mitochondrial",Mrpl32,0.5219,-0.03905,0.4066,0.05235,0.5117,-0.06834,0.8138,0.03819
Q9DCJ1,Target of rapamycin complex subunit LST8,Mlst8,0.5321,-0.0381,0.4458,-0.04809,0.3487,-0.09761,0.7727,0.04685
Q9DCJ5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,Ndufa8,0.9571,-0.003278,0.6267,-0.03068,0.0253,-0.233,0.9572,-0.008712
Q9DCJ7,Aurora kinase A-interacting protein,Aurkaip1,0.0023,-0.1863,0.9423,-0.004563,0.0001,0.4059,0.0001,-0.718
Q9DCK4,Zinc finger protein 414,Znf414,0.0041,-0.1751,0.5563,0.03711,0.0001,-0.6135,0.9293,-0.01439
Q9DCL8,Protein phosphatase inhibitor 2,Ppp1r2,0.5797,0.03377,0.8367,-0.013,0.1736,0.1417,0.2218,-0.1981
Q9DCL9,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,Paics,0.5891,-0.03294,0.4692,0.04565,0.7732,-0.03002,0.4283,0.1285
Q9DCM0,"Persulfide dioxygenase ETHE1, mitochondrial",Ethe1,0.9933,0.0005127,0.5756,0.03531,0.2631,-0.1166,0.8357,0.03364
Q9DCM2,Glutathione S-transferase kappa 1,Gstk1,0.9823,-0.00135,0.6097,0.0322,0.7626,-0.03146,0.3299,0.158
Q9DCM4,"Dynein light chain 4, axonemal",Dnal4,0.1186,-0.09516,0.024,-0.1424,0.0288,-0.2278,0.3275,-0.1588
Q9DCM7,Nucleus accumbens-associated protein 2,Nacc2,0.9971,0.0002212,0.4716,-0.0454,0.8177,0.02401,0.7248,-0.05708
Q9DCN1,Peroxisomal NADH pyrophosphatase NUDT12,Nudt12,0.9094,-0.006937,0.9533,0.003692,0.0694,-0.1891,0.9224,-0.01579
Q9DCN2,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,Cyb5r3,0.7836,-0.01675,0.6881,-0.02532,0.0946,-0.1741,0.322,-0.1606
Q9DCP9,DAZ-associated protein 2,Dazap2,0.0001,-0.3969,0.0715,-0.1137,0.0001,-0.4164,0.5818,-0.08933
Q9DCR2,AP-3 complex subunit sigma-1,Ap3s1,0.7994,-0.01549,0.5259,-0.04001,0.5588,-0.06089,0.6289,-0.07836
Q9DCS2,UPF0585 protein C16orf13 homolog,,0.0145,-0.1491,0.042,-0.1283,0.0043,-0.2975,0.6447,0.07479
Q9DCS3,"Trans-2-enoyl-CoA reductase, mitochondrial",Mecr,0.4429,0.04679,0.7653,-0.01883,0.8342,0.0218,0.6324,-0.07757
Q9DCS9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Ndufb10,0.5961,0.03232,0.8399,0.01274,0.0862,-0.1787,0.7569,-0.0502
Q9DCT1,"1,5-anhydro-D-fructose reductase",Akr1e2,0.5265,-0.03862,0.8648,-0.01074,0.0001,0.4662,0.8793,-0.02463
Q9DCT2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Ndufs3,0.743,-0.01999,0.6457,-0.02899,0.1231,-0.1606,0.8732,-0.02589
Q9DCT5,Stromal cell-derived factor 2,Sdf2,0.791,-0.01616,0.2514,-0.07235,0.6128,0.05271,0.9539,-0.009373
Q9DCT8,Cysteine-rich protein 2,Crip2,0.41,0.05023,0.3845,-0.05485,0.0001,0.9146,0.2091,-0.2037
